76,002014,Institut Teknologi Sumatera,Prov. Lampung,Negeri,Aktif,334,5.327,1 : 15.9,334,8.867,1 : 26.5,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RTE3ODgyODAtMDEzNC00Qjg4LTk5MkItRDcxODRCRTY2N0I5
77,002015,Institut Teknologi Bacharuddin Jusuf Habibie,Prov. Sulawesi Selatan,Negeri,Pembinaan,334,5.327,1 : 15.9,0,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QjkxMzIwREEtRTVCNy00MTdGLUJGOEUtMTNFNjY3OTcxMEZB
78,003002,Sekolah Tinggi Seni Indonesia Padang Panjang,,Negeri,Alih Bentuk,334,5.327,1 : 15.9,0,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NTkxRTZDMjctOTcxRi00MENBLUJDRjYtRjRGNDM2RkNFNEQy
79,003004,Sekolah Tinggi Seni Indonesia Bandung,Prov. Jawa Barat,Negeri,Alih Bentuk,334,5.327,1 : 15.9,0,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OTJFRUFFM0MtQTk5NC00OEVBLUFEODYtNjEzMTFFRDE3MENG
80,005001,Politeknik Manufaktur Bandung,Prov. Jawa Barat,Negeri,Aktif,96,1.123,1 : 11.7,96,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0U3MzU1NUItQjAxNS00MTI3LUE4NDktNzZDMThCRTk0NkM5
81,005002,Politeknik Negeri Jakarta,Prov. Jawa Barat,Negeri,Aktif,382,7.454,1 : 19.5,382,5.647,1 : 14.8,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NzAzMEMyMTYtRDg3OC00QTdDLUJDN0QtNUY1ODQ3M0E1MEFB
82,005003,Politeknik Negeri Medan,Prov. Sumatera Utara,Negeri,Aktif,327,6.276,1 : 19.2,327,9,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/QURFMDExNzktODhEQS00NDgwLUI2RDMtNkU0REVBRjgyQUQ2
83,005004,Politeknik Negeri Bandung,Prov. Jawa Barat,Negeri,Aktif,525,5.850,1 : 11.1,525,156,1 : 0.3,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RkJBRUU3MTEtNzkwRC00MzY1LUFCNjUtMThEODFGN0Y2N0Iw
84,005005,Politeknik Negeri Semarang,Prov. Jawa Tengah,Negeri,Aktif,344,4.916,1 : 14.3,344,30,1 : 0.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OTJCNDk5QTctRDQ3OS00NTBCLThFNDMtQUM0OUU5QzFDNTA1
85,005006,Politeknik Negeri Sriwijaya,Prov. Sumatera Selatan,Negeri,Aktif,397,6.702,1 : 16.9,397,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/NTJGRTY1RjItNjI3RC00MjVCLTk5QzMtM0EwREM3NDBDMTM0
86,005007,Politeknik Negeri Lampung,Prov. Lampung,Negeri,Aktif,199,3.517,1 : 17.7,199,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjQyMjlFNDAtMjA3Qi00ODBGLTlGOEYtQzEzQUM3MENCRUVF
87,005008,Politeknik Negeri Ambon,Prov. Maluku,Negeri,Aktif,260,0,1 : 0,260,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/N0MxQTk3NDUtMDA1MS00QkNCLUIzMUUtNDA4RDY3MThCOUI2
88,005009,Politeknik Negeri Padang,Prov. Sumatera Barat,Negeri,Aktif,317,4.801,1 : 15.1,317,335,1 : 1.1,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Q0E1RTM0NUYtQTYxNy00NENFLTlEMkItMzdBNDMzMDQ3RUQz
89,005010,Politeknik Negeri Bali,Prov. Bali,Negeri,Aktif,365,4.942,1 : 13.5,365,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RTkyNzY0NjQtNUJBMi00MjEwLUI5NzItOTY2NzY5QzlBRjE1
90,005011,Politeknik Negeri Pontianak,Prov. Kalimantan Barat,Negeri,Aktif,309,6.225,1 : 20.1,309,1,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MDc4N0M0QzktOUE5OC00RkYyLUIwODMtRjk1MjhEN0U2RDI1
91,005012,Politeknik Negeri Ujung Pandang,Prov. Sulawesi Selatan,Negeri,Aktif,334,4.043,1 : 12.1,334,1,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/Qzg4NThEN0YtMEE0MS00QzgwLTkyQjgtNTU0RUMwNjE4QkRE
92,005013,Politeknik Negeri Manado,Prov. Sulawesi Utara,Negeri,Aktif,306,4.648,1 : 15.2,306,2.084,1 : 6.8,https://forlap.ristekdikti.go.id/perguruantinggi/detail/N0NBMTAyNDktNkM2RS00MEQ3LThBNkQtRDNBQzQzQjNFQzZB
93,005014,Politeknik Perkapalan Negeri Surabaya,Prov. Jawa Timur,Negeri,Aktif,156,2.593,1 : 16.6,156,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/RDhDQ0IxN0MtQUJBNS00OThFLUEyNjAtNUJCNkYyREI1ODE5
94,005015,Politeknik Negeri Banjarmasin,Prov. Kalimantan Selatan,Negeri,Aktif,213,2.809,1 : 13.2,213,57,1 : 0.3,https://forlap.ristekdikti.go.id/perguruantinggi/detail/OEM2REI1NEUtQkUyRC00OTNELTgyOEEtRUZENzNFOTQ4MkI5
95,005016,Politeknik Negeri Lhokseumawe,Prov. Aceh,Negeri,Aktif,310,4.183,1 : 13.5,310,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MjM1NTVEMzAtMTMwOS00RTI1LUI3NkEtNTBDMDNERUEzMzhF
96,005017,Politeknik Negeri Kupang,Prov. Nusa Tenggara Timur,Negeri,Aktif,186,9.910,1 : 53.3,186,0,1 : 0,https://forlap.ristekdikti.go.id/perguruantinggi/detail/MEY3RjYyMzEtMzU0My00NjhCLUFGMzAtNDFGNUIyQ0I1OTk5
